,hlasy abs,hlasy procenta,mandat,navrhujici strana,politicka prislusnost,poradi ve strane,poradi zvoleni,prijmeni jmeno,rok,strana cislo,strana nazev,tituly,vek
573,3 162,309.0,0,USZ,USZ,10,5,Dzan Ladislav,2006,4,Unie pro sport a zdraví,MUDr. ,41
574,6 409,270.0,0,SOS,BEZPP,24,14,Dzanová Andrea,2006,8,SOS pro Liberec,MUDr. ,36
575,2 519,254.0,0,KSČM,KSČM,18,15,Ebert Vladimír,2006,7,Komunistická str.Čech a Moravy,,60
576,3 912,242.0,0,ČSSD,ČSSD,31,25,Elstnerová Zdeňka,2006,6,Česká str.sociálně demokrat.,,45
577,2 312,320.0,0,NK,BEZPP,3,4,Faistauer Petr,2006,1,SNK ED a nezávislí společně,Ing. ,42
578,3 472,271.0,0,SZ,SZ,11,7,Fialová Daniela,2006,2,Strana zelených,Bc. ,28
579,3 258,254.0,0,SZ,BEZPP,17,13,Fialová Gabriela,2006,2,Strana zelených,Bc. ,32
580,1 578,218.0,0,NK,BEZPP,31,29,Fikejs Ivo,2006,1,SNK ED a nezávislí společně,,29
581,229,1187.0,0,NEZ/DEM,BEZPP,7,,Flesnerová Lenka,2006,5,NEZ.DEMOKRATÉ(předs.V.Železný),,48
582,2 438,246.0,0,KSČM,KSČM,32,29,Floumová Radmila,2006,7,Komunistická str.Čech a Moravy,,60
583,2 484,251.0,0,KSČM,KSČM,23,20,Foglová Marie,2006,7,Komunistická str.Čech a Moravy,,65
584,1 837,179.0,0,USZ,BEZPP,39,36,Friedrich Bohuslav,2006,4,Unie pro sport a zdraví,,65
585,147,1894.0,0,"""KČ""","""KČ""",1,,Frydrych Jan,2006,9,Koruna Česká (monarch.strana),Ing. ,63
586,3 866,239.0,0,ČSSD,ČSSD,34,28,Fulková Andrea,2006,6,Česká str.sociálně demokrat.,Bc. ,27
587,2 606,254.0,0,USZ,USZ,13,10,Gräf Mirko,2006,4,Unie pro sport a zdraví,,78
588,2 378,232.0,0,USZ,DRS,12,9,Gudas Otto,2006,4,Unie pro sport a zdraví,,44
589,6 482,273.0,1,SOS,SOS,7,8,Halamová Lenka,2006,8,SOS pro Liberec,,47
590,8 179,250.0,0,ODS,ODS,31,19,Halberstadtová Dana,2006,3,Občanská demokratická strana,Bc. ,58
591,2 566,259.0,0,KSČM,BEZPP,12,9,Halíř Martin,2006,7,Komunistická str.Čech a Moravy,,35
592,5 642,238.0,0,SOS,BEZPP,33,23,Hampl Karel,2006,8,SOS pro Liberec,,66
593,2 350,229.0,0,USZ,USZ,15,12,Hapl Milan,2006,4,Unie pro sport a zdraví,Ing. ,44
594,3 534,490.0,1,NK,BEZPP,1,1,Harvánek Pavel,2006,1,SNK ED a nezávislí společně,Mgr. ,52
